temporada,equipo,ciudad,presupuesto_musd,salario_promedio_kusd,inversion_refuerzos_musd,edad_promedio_plantilla,extranjeros_plantilla,antiguedad_dt_meses,participacion_internacional,capacidad_estadio,posicion_temporada_anterior,goles_favor_ant,goles_contra_ant,diferencia_goles_ant,xg_ant,posesion_ant,goles_favor,goles_contra,diferencia_goles,xg_temporada,posesion_prom_pct,puntos_temporada,posicion_final
2019,CD MACARA,Ambato,4.2,105.0,4.48,24.3,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,44,26,18,41.8,53.0,65.0,1
2019,BARCELONA SC,Guayaquil,12.9,322.5,9.1,24.7,6,10,6,57000,8.5,27.0,41.0,-14.0,25.6,49.5,40,29,11,38.0,51.8,80.0,2
2019,UNIVERSIDAD CATOLICA,Quito,6.18,154.5,7.46,22.1,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,39,30,9,37.0,51.4,65.0,3
2019,DELFIN SC,Manta,5.9,147.5,4.87,25.1,6,10,0,21000,8.5,27.0,41.0,-14.0,25.6,49.5,39,30,9,37.0,51.4,69.0,4
2019,INDEPENDIENTE DEL VALLE,Sangolqui,9.56,239.0,2.79,21.6,6,10,6,12000,8.5,27.0,41.0,-14.0,25.6,49.5,39,31,8,37.0,51.2,64.0,5
2019,LIGA DEPORTIVA UNIVERSITARIA,Quito,18.7,467.5,8.45,23.07,6,10,6,55000,8.5,27.0,41.0,-14.0,25.6,49.5,37,32,5,35.2,50.7,83.0,6
2019,SD AUCAS,Quito,4.7,117.5,6.74,23.8,6,10,0,20000,8.5,27.0,41.0,-14.0,25.6,49.5,37,32,5,35.2,50.7,62.0,7
2019,CS EMELEC,Guayaquil,9.3,232.5,9.615,25.2,6,10,6,40000,8.5,27.0,41.0,-14.0,25.6,49.5,36,33,3,34.2,50.2,78.0,8
2019,CD EL NACIONAL,Quito,5.89,147.25,4.35,22.9,6,10,0,40000,8.5,27.0,41.0,-14.0,25.6,49.5,35,34,1,33.2,49.8,39.0,9
2019,DEPORTIVO CUENCA,Cuenca,4.15,103.75,4.83,22.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,33,36,-3,31.4,49.3,45.0,10
2019,CD OLMEDO,Ecuador,3.19,79.75,2.58,25.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,29,39,-10,27.6,48.0,34.0,11
2019,GUAYAQUIL CITY,Guayaquil,4.22,105.5,5.88,24.4,6,10,0,6500,8.5,27.0,41.0,-14.0,25.6,49.5,28,40,-12,26.6,47.5,30.0,12
2019,MUSHUC RUNA SC,Ambato,5.46,136.5,3.66,25.8,6,10,0,10000,8.5,27.0,41.0,-14.0,25.6,49.5,27,41,-14,25.6,47.3,30.0,13
2019,TECNICO UNIVERSITARIO,Ambato,5.11,127.75,4.32,24.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,27,41,-14,25.6,47.2,42.0,14
2019,AMERICA DE QUITO,Ecuador,5.91,147.75,4.11,22.7,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,25,43,-18,23.8,46.4,37.0,15
2019,FUERZA AMARILLA,Ecuador,4.36,109.0,3.15,23.0,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,15,52,-37,14.2,43.1,9.0,16
2020,LIGA DEPORTIVA UNIVERSITARIA,Quito,20.28,507.0,18.62,24.3,6,10,6,55000,6.0,37.0,32.0,5.0,35.2,50.7,33,36,-3,31.4,52.5,59.0,1
2020,BARCELONA SC,Guayaquil,10.53,263.25,10.34,24.7,6,10,6,57000,2.0,40.0,29.0,11.0,38.0,51.8,32,36,-4,30.4,52.3,58.0,2
2020,INDEPENDIENTE DEL VALLE,Sangolqui,7.045,176.125,6.08,22.1,6,10,6,12000,5.0,39.0,31.0,8.0,37.0,51.2,31,38,-7,29.4,51.6,54.0,3
2020,UNIVERSIDAD CATOLICA,Quito,5.19,129.75,4.02,23.4,6,10,0,18000,3.0,39.0,30.0,9.0,37.0,51.4,30,39,-9,28.5,51.1,51.0,4
2020,CS EMELEC,Guayaquil,16.08,402.0,12.73,24.4,6,10,6,40000,8.0,36.0,33.0,3.0,34.2,50.2,27,41,-14,25.6,49.8,44.0,5
2020,GUAYAQUIL CITY,Guayaquil,3.35,83.75,2.71,26.0,6,10,0,6500,12.0,28.0,40.0,-12.0,26.6,47.5,27,41,-14,25.6,49.8,44.0,6
2020,CD MACARA,Ambato,5.51,137.75,3.29,25.5,6,10,0,18000,1.0,44.0,26.0,18.0,41.8,53.0,27,41,-14,25.6,49.8,44.0,7
2020,SD AUCAS,Quito,4.23,105.75,2.11,25.0,6,10,0,20000,7.0,37.0,32.0,5.0,35.2,50.7,27,42,-15,25.6,49.5,44.0,8
2020,TECNICO UNIVERSITARIO,Ambato,0.000778,0.01945,0.000242,25.7,6,10,0,18000,14.0,27.0,41.0,-14.0,25.6,47.2,27,42,-15,25.6,49.5,42.0,9
2020,DELFIN SC,Manta,4.02,100.5,2.81,25.4,6,10,0,21000,4.0,39.0,30.0,9.0,37.0,51.4,25,43,-18,23.8,48.8,38.0,10
2020,MUSHUC RUNA SC,Ambato,2.07,51.75,0.00094,26.7,6,10,0,10000,13.0,27.0,41.0,-14.0,25.6,47.3,23,45,-22,21.8,47.5,31.0,11
2020,DEPORTIVO CUENCA,Cuenca,1.27,31.75,0.000885,23.8,6,10,0,18000,10.0,33.0,36.0,-3.0,31.4,49.3,23,45,-22,21.8,47.5,31.0,12
2020,ORENSE SC,Machala,2.07,51.75,1.744,25.5,6,10,0,12000,8.5,27.0,41.0,-14.0,25.6,49.5,23,45,-22,21.8,47.5,31.0,13
2020,CD OLMEDO,Ecuador,1.815,45.375,1.065,26.0,6,10,0,18000,11.0,29.0,39.0,-10.0,27.6,48.0,22,45,-23,20.9,47.3,30.0,14
2020,LIGA DE PORTOVIEJO,Ecuador,2.51,62.75,1.61,25.4,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,22,45,-23,20.9,47.3,30.0,15
2020,CD EL NACIONAL,Quito,6.59,164.75,6.02,25.3,6,10,0,40000,9.0,35.0,34.0,1.0,33.2,49.8,21,47,-26,20.0,46.6,26.0,16
2021,CS EMELEC,Guayaquil,13.085,327.125,4.92,24.8,6,10,6,40000,5.0,27.0,41.0,-14.0,25.6,49.8,34,35,-1,32.3,53.4,64.0,1
2021,INDEPENDIENTE DEL VALLE,Sangolqui,6.311,157.775,2.67,22.7,6,10,6,12000,3.0,31.0,38.0,-7.0,29.4,51.6,33,35,-2,31.4,52.8,61.0,2
2021,UNIVERSIDAD CATOLICA,Quito,5.08,127.0,1.08,23.2,6,10,0,18000,4.0,30.0,39.0,-9.0,28.5,51.1,31,38,-7,29.4,51.6,54.0,3
2021,BARCELONA SC,Guayaquil,11.55,288.75,6.54,24.7,6,10,6,57000,2.0,32.0,36.0,-4.0,30.4,52.3,30,39,-9,28.5,51.1,51.0,4
2021,9 DE OCTUBRE,Ecuador,0.000621,0.0155249999999999,0.000276,25.0,6,10,0,18000,8.5,27.0,41.0,-14.0,25.6,49.5,30,39,-9,28.5,50.9,50.0,5
